实例名称: 复杂_22
难度: 复杂
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:10.888982
============================================================
求解状态: OPTIMAL
总延误: 18
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 2
  A_2: 6
  A_3: 8
  A_4: 12
  A_5: 14
  A_6: 18
  A_7: 20
  A_8: 25
  B_0: 0
  B_1: 6
  B_2: 10
  B_3: 12
  B_4: 16
  B_5: 22
  B_6: 26
  B_7: 28
  B_8: 33
  C_8: 0
  C_7: 2
  C_6: 7
  C_5: 9
  C_4: 13
  C_3: 16
  C_2: 20
  C_1: 22
  C_0: 26
  D_8: 0
  D_7: 7
  D_6: 12
  D_5: 18
  D_4: 22
  D_3: 24
  D_2: 28
  D_1: 30
  D_0: 34
  A_finish: 27
  B_finish: 35
  C_finish: 28
  D_finish: 36
