实例名称: 中等_27
难度: 中等
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:01.654621
============================================================
求解状态: OPTIMAL
总延误: 6
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 2
  A_2: 5
  A_3: 10
  A_4: 13
  A_5: 15
  A_6: 18
  B_0: 0
  B_1: 2
  B_2: 5
  B_3: 10
  B_4: 13
  B_5: 15
  B_6: 18
  C_6: 0
  C_5: 2
  C_4: 5
  C_3: 7
  C_2: 10
  C_1: 12
  C_0: 15
  D_6: 0
  D_5: 2
  D_4: 5
  D_3: 7
  D_2: 10
  D_1: 12
  D_0: 15
  A_finish: 20
  B_finish: 20
  C_finish: 17
  D_finish: 17
