实例名称: 复杂_18
难度: 复杂
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:08.667141
============================================================
求解状态: OPTIMAL
总延误: 20
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 2
  A_2: 6
  A_3: 8
  A_4: 12
  A_5: 14
  A_6: 19
  A_7: 21
  A_8: 26
  B_0: 0
  B_1: 6
  B_2: 10
  B_3: 12
  B_4: 16
  B_5: 19
  B_6: 24
  B_7: 26
  B_8: 31
  C_8: 0
  C_7: 7
  C_6: 12
  C_5: 24
  C_4: 29
  C_3: 31
  C_2: 35
  C_1: 37
  C_0: 41
  D_8: 0
  D_7: 2
  D_6: 7
  D_5: 9
  D_4: 14
  D_3: 16
  D_2: 20
  D_1: 22
  D_0: 26
  A_finish: 28
  B_finish: 33
  C_finish: 43
  D_finish: 28
