实例名称: 复杂_28
难度: 复杂
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:13.034555
============================================================
求解状态: OPTIMAL
总延误: 20
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 7
  A_2: 12
  A_3: 19
  A_4: 24
  A_5: 26
  A_6: 30
  A_7: 32
  A_8: 36
  B_0: 0
  B_1: 2
  B_2: 7
  B_3: 9
  B_4: 14
  B_5: 16
  B_6: 20
  B_7: 22
  B_8: 26
  C_8: 0
  C_7: 6
  C_6: 10
  C_5: 12
  C_4: 16
  C_3: 24
  C_2: 29
  C_1: 31
  C_0: 36
  D_8: 0
  D_7: 2
  D_6: 6
  D_5: 8
  D_4: 12
  D_3: 14
  D_2: 19
  D_1: 21
  D_0: 26
  A_finish: 38
  B_finish: 28
  C_finish: 38
  D_finish: 28
