实例名称: 复杂_7
难度: 复杂
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:15.934189
============================================================
求解状态: OPTIMAL
总延误: 23
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 2
  A_2: 6
  A_3: 8
  A_4: 13
  A_5: 15
  A_6: 20
  A_7: 22
  A_8: 27
  B_0: 0
  B_1: 6
  B_2: 10
  B_3: 13
  B_4: 18
  B_5: 25
  B_6: 30
  B_7: 32
  B_8: 37
  C_8: 0
  C_7: 2
  C_6: 7
  C_5: 9
  C_4: 14
  C_3: 18
  C_2: 23
  C_1: 25
  C_0: 29
  D_8: 0
  D_7: 7
  D_6: 12
  D_5: 20
  D_4: 25
  D_3: 27
  D_2: 32
  D_1: 34
  D_0: 38
  A_finish: 29
  B_finish: 39
  C_finish: 31
  D_finish: 40
