实例名称: 复杂_33
难度: 复杂
求解器: OR-Tools CP-SAT
时间戳: 2026-03-28T17:16:15.137267
============================================================
求解状态: OPTIMAL
总延误: 20
求解时间: N/A
------------------------------------------------------------
调度方案:
  A_0: 0
  A_1: 2
  A_2: 6
  A_3: 8
  A_4: 12
  A_5: 14
  A_6: 19
  A_7: 21
  A_8: 26
  B_0: 0
  B_1: 6
  B_2: 10
  B_3: 12
  B_4: 16
  B_5: 24
  B_6: 29
  B_7: 31
  B_8: 36
  C_8: 0
  C_7: 2
  C_6: 7
  C_5: 9
  C_4: 14
  C_3: 16
  C_2: 20
  C_1: 22
  C_0: 26
  D_8: 0
  D_7: 7
  D_6: 12
  D_5: 19
  D_4: 24
  D_3: 26
  D_2: 30
  D_1: 32
  D_0: 36
  A_finish: 28
  B_finish: 38
  C_finish: 28
  D_finish: 38
